Word,Length of characters,Median duration,Frequency rank,Relative frequency
aurrera,7,0.4000000000000003,119,0.0008535794669385314
euskara,7,0.4499999999999999,119,0.0008535794669385314
zegoen,6,0.4500000000000002,120,0.0008448471961770118
batera,6,0.4200000000000001,121,0.000842664128486632
lana,4,0.2999999999999998,123,0.0008273826546539728
buruz,5,0.3900000000000001,123,0.0008273826546539728
arteko,6,0.3999999999999999,124,0.000825199586963593
ordea,5,0.49,125,0.0008230165192732131
ikasi,5,0.3799999999999999,126,0.0008208334515828333
idatzi,6,0.3800000000000001,127,0.000807735045440554
hogeita,7,0.3700000000000001,128,0.000790270503917515
horrela,7,0.3700000000000001,130,0.0007837213008463753
bost,4,0.2999999999999998,130,0.0007837213008463753
al,2,0.1200000000000001,131,0.0007793551654656156
batzuetan,9,0.6399999999999999,132,0.000772805962394476
jarri,5,0.3050000000000001,134,0.0007684398270137162
gutxi,5,0.33,134,0.0007684398270137162
bera,4,0.25,136,0.0007640736916329565
aukera,6,0.3799999999999999,136,0.0007640736916329565
berri,5,0.2799999999999999,137,0.0007618906239425766
lortu,5,0.3499999999999996,139,0.0007597075562521967
hitz,4,0.2200000000000002,139,0.0007597075562521967
esaten,6,0.3999999999999999,140,0.0007487922178002973
hartzen,7,0.3600000000000003,141,0.0007466091501099174
egitea,6,0.4400000000000004,143,0.0007291446085868784
ikusten,7,0.4500000000000002,143,0.0007291446085868784
euskaraz,8,0.54,144,0.0007247784732061187
nintzen,7,0.4300000000000001,145,0.000720412337825359
bada,4,0.3500000000000001,146,0.0007160462024445992
mundu,5,0.3199999999999999,147,0.0007094969993734595
ondoren,7,0.51,148,0.0007073139316830797
zerbait,7,0.4399999999999999,149,0.00070294779630232
bigarren,8,0.4499999999999999,150,0.000685483254779281
etorri,6,0.3399999999999998,151,0.0006833001870889011
arte,4,0.32,152,0.0006811171193985212
batez,5,0.3800000000000008,153,0.0006789340517081413
dagoen,6,0.3700000000000003,154,0.0006723848486370016
nagusia,7,0.5699999999999998,155,0.0006658356455658621
zenbait,7,0.4699999999999997,157,0.0006614695101851023
berriz,6,0.4400000000000004,157,0.0006614695101851023
munduko,7,0.4699999999999998,158,0.0006592864424947224
erabili,7,0.4199999999999999,160,0.0006527372394235828
gauza,5,0.3500000000000001,160,0.0006527372394235828
zara,4,0.3000000000000001,162,0.000650554171733203
baita,5,0.3700000000000001,162,0.000650554171733203
askotan,7,0.5299999999999998,163,0.0006483711040428231
aurretik,8,0.5100000000000002,165,0.0006418219009716834
pertsona,8,0.4400000000000003,165,0.0006418219009716834
batzuek,7,0.52,168,0.0006374557655909237
hamar,5,0.3,168,0.0006374557655909237
parte,5,0.3100000000000005,168,0.0006374557655909237
hor,3,0.1799999999999999,172,0.0006330896302101639
atera,5,0.33,172,0.0006330896302101639
lau,3,0.2400000000000002,172,0.0006330896302101639
liburu,6,0.38,172,0.0006330896302101639
bakarra,7,0.4300000000000001,174,0.0006309065625197841
duela,5,0.3600000000000001,174,0.0006309065625197841
oraindik,8,0.4900000000000001,175,0.0006265404271390243
ona,3,0.2299999999999999,176,0.0006243573594486444
guk,3,0.2999999999999999,177,0.0006221742917582645
ikasle,6,0.42,180,0.0006178081563775048
sartu,5,0.3599999999999999,180,0.0006178081563775048
berriro,7,0.3899999999999997,180,0.0006178081563775048
izatea,6,0.4899999999999997,181,0.0006156250886871249
geratu,6,0.3699999999999996,182,0.0006090758856159853
hil,3,0.1700000000000003,183,0.0006047097502352255
zergatik,8,0.5499999999999998,184,0.0006025266825448457
egoera,6,0.44,186,0.0006003436148544658
honek,5,0.3599999999999999,186,0.0006003436148544658
direla,6,0.3799999999999999,187,0.0005937944117833262
gertatu,7,0.4399999999999999,188,0.0005916113440929463
diote,5,0.3899999999999997,189,0.0005894282764025664
nuke,4,0.33,190,0.0005872452087121866
ibili,5,0.3,191,0.000578512937950667
daitezke,8,0.57,192,0.0005719637348795274
modu,4,0.29,193,0.0005697806671891476
gerra,5,0.3200000000000003,194,0.0005654145318083878
ohi,3,0.1499999999999999,196,0.0005566822610468683
gainera,7,0.55,196,0.0005566822610468683
bakarrik,8,0.4599999999999999,197,0.0005544991933564884
jende,5,0.32,198,0.0005523161256661086
horrelako,9,0.4899999999999999,200,0.0005501330579757287
balio,5,0.3500000000000001,200,0.0005501330579757287
ea,2,0.2199999999999997,201,0.0005479499902853488
zaio,4,0.3600000000000003,204,0.0005457669225949689
zait,4,0.3299999999999998,204,0.0005457669225949689
beharra,7,0.3400000000000001,204,0.0005457669225949689
agian,5,0.4600000000000001,205,0.0005414007872142091
garai,5,0.3399999999999999,206,0.0005392177195238292
orduan,6,0.4500000000000001,207,0.0005370346518334494
esaldi,6,0.3900000000000001,209,0.0005326685164526897
herrian,7,0.4000000000000001,209,0.0005326685164526897
zela,4,0.33,211,0.0005304854487623098
esker,5,0.4100000000000001,211,0.0005304854487623098
ekarri,6,0.33,213,0.0005239362456911701
eskatzen,8,0.4699999999999997,213,0.0005239362456911701
beraz,5,0.5249999999999999,215,0.0005195701103104103
inoiz,5,0.3500000000000001,215,0.0005195701103104103
jaso,4,0.3199999999999998,217,0.0005152039749296507
zion,4,0.3500000000000001,217,0.0005152039749296507
ahal,4,0.1699999999999999,218,0.0005130209072392708
eskola,6,0.42,220,0.0005108378395488909
ginen,5,0.3500000000000001,220,0.0005108378395488909
gain,4,0.33,223,0.000508654771858511
gai,3,0.2199999999999999,223,0.000508654771858511
hura,4,0.2599999999999998,223,0.000508654771858511
dugun,5,0.3199999999999998,224,0.0005064717041681311
argi,4,0.3,226,0.0005042886364777512
bidea,5,0.3799999999999999,226,0.0005042886364777512
behin,5,0.29,227,0.0005021055687873713
aldiz,5,0.39,228,0.0004999225010969916
bitartean,9,0.6399999999999997,229,0.0004977394334066117
ni,2,0.2,230,0.0004933732980258519
arabera,7,0.5,231,0.000491190230335472
aldatu,6,0.3799999999999996,234,0.0004890071626450921
berean,6,0.4299999999999999,234,0.0004890071626450921
esku,4,0.3000000000000002,234,0.0004890071626450921
gertatzen,9,0.5299999999999998,237,0.00048682409495471224
dituen,6,0.3800000000000001,237,0.00048682409495471224
denbora,7,0.4100000000000001,237,0.00048682409495471224
bide,4,0.27,239,0.0004824579595739525
digu,4,0.3099999999999996,239,0.0004824579595739525
aurten,6,0.4250000000000001,241,0.0004759087565028129
egia,4,0.36,241,0.0004759087565028129
lagun,5,0.3200000000000003,243,0.000473725688812433
ala,3,0.2299999999999999,243,0.000473725688812433
hain,4,0.1999999999999999,244,0.0004649934180509135
gehien,6,0.3499999999999998,247,0.00046281035036053363
gehienak,8,0.54,247,0.00046281035036053363
ezagutzen,9,0.56,247,0.00046281035036053363
galdera,7,0.4300000000000001,249,0.00046062728267015374
ia,2,0.2300000000000004,249,0.00046062728267015374
horregatik,10,0.6100000000000003,250,0.00045844421497977385
burua,5,0.3700000000000001,253,0.000456261147289394
dituzu,6,0.47,253,0.000456261147289394
blog,4,0.3000000000000007,253,0.000456261147289394
guztia,6,0.4699999999999997,256,0.00045189501190863424
izateko,7,0.5700000000000003,256,0.00045189501190863424
batetik,7,0.53,256,0.00045189501190863424
bati,4,0.29,258,0.00044971194421825436
ezer,4,0.3099999999999997,258,0.00044971194421825436
jakin,5,0.3699999999999999,260,0.0004475288765278745
honen,5,0.28,260,0.0004475288765278745
begira,6,0.4049999999999999,261,0.00044534580883749463
emakume,7,0.47,262,0.00044316274114711475
talde,5,0.29,264,0.00044097967345673486
estatu,6,0.3999999999999999,264,0.00044097967345673486
hurrengo,8,0.4099999999999999,265,0.00043661353807597514
herriko,7,0.36,268,0.00043006433500483547
horretarako,11,0.67,268,0.00043006433500483547
baterako,8,0.5700000000000003,268,0.00043006433500483547
maila,5,0.3199999999999999,269,0.00042788126731445564
espainiako,10,0.6200000000000001,271,0.00042351513193369586
herria,6,0.3700000000000001,271,0.00042351513193369586
batekin,7,0.4700000000000002,272,0.000421332064243316
hartan,6,0.4250000000000001,275,0.00041914899655293614
badago,6,0.4599999999999999,275,0.00041914899655293614
artikulu,8,0.52,275,0.00041914899655293614
irakurri,8,0.4599999999999999,276,0.00041696592886255625
eredu,5,0.3500000000000001,278,0.00041478286117217636
hezkuntza,9,0.5199999999999998,278,0.00041478286117217636
duzue,5,0.3899999999999997,280,0.0004125997934817965
musika,6,0.47,280,0.0004125997934817965
egunero,7,0.4700000000000002,283,0.00041041672579141664
eragin,6,0.3799999999999999,283,0.00041041672579141664
berria,6,0.4099999999999999,283,0.00041041672579141664
badira,6,0.4399999999999999,284,0.00040605059041065686
zaigu,5,0.4100000000000001,287,0.000403867522720277
entzun,6,0.3399999999999998,287,0.000403867522720277
baduzu,6,0.4999999999999999,287,0.000403867522720277
gainean,7,0.4599999999999999,288,0.0004016844550298971
horri,5,0.27,293,0.00039731831964913737
hona,4,0.27,293,0.00039731831964913737
besterik,8,0.4599999999999997,293,0.00039731831964913737
galdu,5,0.29,293,0.00039731831964913737
zazpi,5,0.4200000000000001,293,0.00039731831964913737
egindako,8,0.5,295,0.0003951352519587575
eskatu,6,0.41,295,0.0003951352519587575
dutela,6,0.4300000000000001,296,0.0003929521842683776
kultura,7,0.4399999999999999,299,0.00039076911657799776
sortzen,7,0.4300000000000001,299,0.00039076911657799776
munduan,7,0.5099999999999998,299,0.00039076911657799776
sei,3,0.28,301,0.00038858604888761787
halako,6,0.3799999999999999,301,0.00038858604888761787
haren,5,0.31,303,0.000386402981197238
bizitza,7,0.4600000000000004,303,0.000386402981197238
gaitasuna,9,0.6099999999999999,304,0.0003842199135068581
gu,2,0.2299999999999999,309,0.00038203684581647826
gisa,4,0.3700000000000001,309,0.00038203684581647826
jartzen,7,0.4099999999999997,309,0.00038203684581647826
irabazi,7,0.4400000000000004,309,0.00038203684581647826
baizik,6,0.4900000000000002,309,0.00038203684581647826
gaude,5,0.3500000000000001,313,0.00037985377812609837
guztiok,7,0.53,313,0.00037985377812609837
erdi,4,0.2849999999999999,313,0.00037985377812609837
arren,5,0.3899999999999997,313,0.00037985377812609837
inguruko,8,0.5,315,0.0003776707104357185
interneten,10,0.6599999999999999,315,0.0003776707104357185
han,3,0.205,317,0.0003754876427453386
ezta,4,0.395,317,0.0003754876427453386
kontu,5,0.33,318,0.0003733045750549587
euskararen,10,0.6200000000000001,323,0.00037112150736457887
handik,6,0.3600000000000001,323,0.00037112150736457887
lehenengo,9,0.495,323,0.00037112150736457887
leku,4,0.3000000000000001,323,0.00037112150736457887
gizarte,7,0.4700000000000002,323,0.00037112150736457887
bota,4,0.2800000000000001,326,0.0003667553719838191
idazten,7,0.4499999999999997,326,0.0003667553719838191
hogei,5,0.29,326,0.0003667553719838191
erabat,6,0.3999999999999999,327,0.0003645723042934392
familia,7,0.495,329,0.00036238923660305937
era,3,0.215,329,0.00036238923660305937
osoa,4,0.3599999999999999,330,0.0003602061689126795
inguruan,8,0.5400000000000001,332,0.0003580231012222996
zortzi,6,0.43,332,0.0003580231012222996
zioten,6,0.4899999999999997,336,0.0003558400335319197
dauka,5,0.3899999999999999,336,0.0003558400335319197
berriak,7,0.4599999999999999,336,0.0003558400335319197
europako,8,0.56,336,0.0003558400335319197
izen,4,0.3000000000000002,338,0.0003536569658415399
iritsi,6,0.36,338,0.0003536569658415399
zenbat,6,0.4299999999999999,339,0.00035147389815116
horietako,9,0.5350000000000001,340,0.0003492908304607801
noiz,4,0.3299999999999996,343,0.0003471077627704002
gauzak,6,0.4399999999999999,343,0.0003471077627704002
politika,8,0.52,343,0.0003471077627704002
jo,2,0.205,346,0.0003449246950800203
aritu,5,0.33,346,0.0003449246950800203
dituzten,8,0.5,346,0.0003449246950800203
buruzko,7,0.4699999999999997,349,0.0003427416273896405
esaterako,9,0.75,349,0.0003427416273896405
askoz,5,0.3800000000000001,349,0.0003427416273896405
helburu,7,0.385,352,0.0003405585596992606
ote,3,0.22,352,0.0003405585596992606
datorren,8,0.4700000000000001,352,0.0003405585596992606
ur,2,0.1899999999999999,355,0.0003383754920088807
nahikoa,7,0.4300000000000001,355,0.0003383754920088807
ekonomia,8,0.6000000000000001,355,0.0003383754920088807
iruditzen,9,0.4700000000000002,357,0.0003361924243185008
onak,4,0.29,357,0.0003361924243185008
urtean,6,0.4500000000000002,360,0.000334009356628121
esaldiak,8,0.59,360,0.000334009356628121
azaldu,6,0.4100000000000001,360,0.000334009356628121
eskaintzen,10,0.5300000000000002,363,0.0003318262889377411
heldu,5,0.2649999999999999,363,0.0003318262889377411
laster,6,0.4199999999999999,363,0.0003318262889377411
aurkitu,7,0.4100000000000001,364,0.0003296432212473612
haien,5,0.3299999999999998,371,0.0003274601535569813
arrazoi,7,0.4500000000000001,371,0.0003274601535569813
zeuden,6,0.4499999999999997,371,0.0003274601535569813
eraman,6,0.3499999999999998,371,0.0003274601535569813
litzateke,9,0.6200000000000001,371,0.0003274601535569813
kasu,4,0.3,371,0.0003274601535569813
jotzen,6,0.3899999999999999,371,0.0003274601535569813
falta,5,0.3399999999999998,375,0.0003252770858666015
ezagutu,7,0.5,375,0.0003252770858666015
gora,4,0.27,375,0.0003252770858666015
adibidez,8,0.6699999999999999,375,0.0003252770858666015
jarraitzen,10,0.5099999999999998,380,0.0003209109504858417
orduko,6,0.4500000000000002,380,0.0003209109504858417
ikasten,7,0.4500000000000002,380,0.0003209109504858417
agertzen,8,0.4599999999999999,380,0.0003209109504858417
non,3,0.25,380,0.0003209109504858417
nituen,6,0.4599999999999999,387,0.0003187278827954618
emakumeen,9,0.6000000000000001,387,0.0003187278827954618
kontua,6,0.48,387,0.0003187278827954618
gune,4,0.2600000000000002,387,0.0003187278827954618
horien,6,0.3500000000000003,387,0.0003187278827954618
nahiko,6,0.3400000000000003,387,0.0003187278827954618
irakasle,8,0.52,387,0.0003187278827954618
guztietan,9,0.6699999999999999,394,0.00031654481510508194
diru,4,0.2799999999999999,394,0.00031654481510508194
gaztelaniaz,11,0.79,394,0.00031654481510508194
zehar,5,0.3699999999999999,394,0.00031654481510508194
laurogeita,10,0.54,394,0.00031654481510508194
hamaika,7,0.4199999999999999,394,0.00031654481510508194
bestelako,9,0.56,394,0.00031654481510508194
egongo,6,0.3499999999999997,398,0.0003143617474147021
erakutsi,8,0.4699999999999997,398,0.0003143617474147021
erakusten,9,0.52,398,0.0003143617474147021
diogu,5,0.39,398,0.0003143617474147021
ostean,6,0.5100000000000002,402,0.0003121786797243222
aurreko,7,0.4200000000000004,402,0.0003121786797243222
gustatzen,9,0.5299999999999998,402,0.0003121786797243222
ederra,6,0.32,402,0.0003121786797243222
aldaketa,8,0.5099999999999998,404,0.00030999561203394233
bidez,5,0.3900000000000001,404,0.00030999561203394233
genuke,6,0.4600000000000001,408,0.00030781254434356244
amaitu,6,0.3600000000000001,408,0.00030781254434356244
eskubidea,9,0.6000000000000005,408,0.00030781254434356244
iruditu,7,0.4399999999999999,408,0.00030781254434356244
euskarazko,10,0.6400000000000001,411,0.0003056294766531826
besteak,7,0.4499999999999999,411,0.0003056294766531826
ordu,4,0.2550000000000001,411,0.0003056294766531826
zaila,5,0.3700000000000001,412,0.0003034464089628027
erantzun,8,0.43,413,0.00030126334127242283
hauetan,7,0.4900000000000002,417,0.00029908027358204294
badu,4,0.2999999999999998,417,0.00029908027358204294
txiki,5,0.3099999999999999,417,0.00029908027358204294
merezi,6,0.4100000000000001,417,0.00029908027358204294
aurrean,7,0.4600000000000002,420,0.0002968972058916631
politiko,8,0.5,420,0.0002968972058916631
jendea,6,0.4500000000000001,420,0.0002968972058916631
eragiten,8,0.5,426,0.0002947141382012832
ustez,5,0.4999999999999999,426,0.0002947141382012832
ondorioz,8,0.6699999999999999,426,0.0002947141382012832
edozein,7,0.4399999999999999,426,0.0002947141382012832
aldeko,6,0.3899999999999999,426,0.0002947141382012832
nago,4,0.3500000000000005,426,0.0002947141382012832
lurralde,8,0.4599999999999999,430,0.00029253107051090333
testu,5,0.3399999999999998,430,0.00029253107051090333
berak,5,0.385,430,0.00029253107051090333
esango,6,0.3700000000000001,430,0.00029253107051090333
honako,6,0.3900000000000001,433,0.00029034800282052344
beren,5,0.33,433,0.00029034800282052344
bertako,7,0.4700000000000002,433,0.00029034800282052344
hobe,4,0.27,436,0.00028816493513014355
giza,4,0.33,436,0.00028816493513014355
sentitzen,9,0.54,436,0.00028816493513014355
moduan,6,0.4500000000000002,441,0.0002859818674397637
handiak,7,0.4300000000000001,441,0.0002859818674397637
zuk,3,0.29,441,0.0002859818674397637
badaude,7,0.5,441,0.0002859818674397637
mota,4,0.3,441,0.0002859818674397637
ehun,4,0.25,444,0.00028379879974938383
genero,6,0.4199999999999999,444,0.00028379879974938383
barruan,7,0.4399999999999999,444,0.00028379879974938383
moduko,6,0.4000000000000003,449,0.00028161573205900394
muga,4,0.3199999999999998,449,0.00028161573205900394
benetan,7,0.49,449,0.00028161573205900394
nahiz,5,0.2999999999999998,449,0.00028161573205900394
milaka,6,0.4300000000000001,449,0.00028161573205900394
bete,4,0.2550000000000001,452,0.00027943266436862406
emakumeak,9,0.6700000000000005,452,0.00027943266436862406
eraiki,6,0.3700000000000001,452,0.00027943266436862406
ateratzen,9,0.5299999999999999,454,0.0002772495966782442
didate,6,0.4099999999999997,454,0.0002772495966782442
behintzat,9,0.4900000000000002,459,0.00027506652898786433
historia,8,0.51,459,0.00027506652898786433
erabaki,7,0.4449999999999998,459,0.00027506652898786433
informazio,10,0.6700000000000002,459,0.00027506652898786433
indar,5,0.325,459,0.00027506652898786433
proiektu,8,0.51,460,0.00027288346129748445
lanak,5,0.4100000000000001,464,0.00027070039360710456
piztu,5,0.3399999999999998,464,0.00027070039360710456
horietan,8,0.515,464,0.00027070039360710456
geratzen,8,0.4599999999999999,464,0.00027070039360710456
irakurtzen,10,0.5700000000000003,469,0.0002685173259167247
itzuli,6,0.3900000000000001,469,0.0002685173259167247
ugari,5,0.3599999999999994,469,0.0002685173259167247
irakasleak,10,0.7099999999999999,469,0.0002685173259167247
askok,5,0.4199999999999999,469,0.0002685173259167247
aipatu,6,0.4099999999999999,476,0.00026633425822634484
zaizkit,7,0.4950000000000001,476,0.00026633425822634484
ehuneko,7,0.45,476,0.00026633425822634484
garbi,5,0.33,476,0.00026633425822634484
hirugarren,10,0.54,476,0.00026633425822634484
dizut,5,0.415,476,0.00026633425822634484
probak,6,0.4199999999999999,476,0.00026633425822634484
komeni,6,0.3799999999999999,480,0.00026415119053596495
uzten,5,0.3200000000000003,480,0.00026415119053596495
enpresa,7,0.48,480,0.00026415119053596495
argazki,7,0.48,480,0.00026415119053596495
antolatu,8,0.4950000000000001,484,0.00026196812284558506
mailako,7,0.4399999999999999,484,0.00026196812284558506
artikulua,9,0.6500000000000002,484,0.00026196812284558506
zuela,5,0.3700000000000001,484,0.00026196812284558506
garrantzitsua,13,0.68,488,0.00025978505515520517
oro,3,0.25,488,0.00025978505515520517
batzuen,7,0.4399999999999999,488,0.00025978505515520517
bestela,7,0.54,488,0.00025978505515520517
zirela,6,0.4300000000000004,494,0.00025760198746482534
neska,5,0.3599999999999999,494,0.00025760198746482534
nafarroako,10,0.6900000000000001,494,0.00025760198746482534
tartean,7,0.5800000000000001,494,0.00025760198746482534
bederatziehun,13,0.785,494,0.00025760198746482534
bihurtu,7,0.3899999999999997,494,0.00025760198746482534
lasai,5,0.3600000000000001,499,0.00025541891977444545
zati,4,0.33,499,0.00025541891977444545
handi,5,0.27,499,0.00025541891977444545
bateko,6,0.4199999999999999,499,0.00025541891977444545
sartzen,7,0.4599999999999999,499,0.00025541891977444545
noski,5,0.4700000000000002,504,0.0002510527843936857
minutu,6,0.4099999999999999,504,0.0002510527843936857
duzun,5,0.3799999999999999,504,0.0002510527843936857
lanean,6,0.4399999999999999,504,0.0002510527843936857
asmoa,5,0.4100000000000001,504,0.0002510527843936857
telebista,9,0.5100000000000005,510,0.00024886971670330584
dirudi,6,0.4499999999999999,510,0.00024886971670330584
gizon,5,0.3799999999999999,510,0.00024886971670330584
erantzuna,9,0.555,510,0.00024886971670330584
dit,3,0.26,510,0.00024886971670330584
komunikazio,11,0.7200000000000001,510,0.00024886971670330584
ordenagailu,11,0.6200000000000001,514,0.00024668664901292595
espero,6,0.3799999999999999,514,0.00024668664901292595
hainbeste,9,0.48,514,0.00024668664901292595
bakoitzak,9,0.6099999999999999,514,0.00024668664901292595
taldea,6,0.455,519,0.00024450358132254606
dauden,6,0.3700000000000001,519,0.00024450358132254606
dagoela,7,0.4399999999999999,519,0.00024450358132254606
egungo,6,0.375,519,0.00024450358132254606
topatu,6,0.3899999999999997,519,0.00024450358132254606
elkar,5,0.3500000000000001,522,0.0002423205136321662
horrekin,8,0.4499999999999999,522,0.0002423205136321662
jarraitu,8,0.4400000000000004,522,0.0002423205136321662
ikastea,7,0.5149999999999999,527,0.00024013744594178631
aldi,4,0.27,527,0.00024013744594178631
emaitza,7,0.4399999999999999,527,0.00024013744594178631
guztiz,6,0.4599999999999999,527,0.00024013744594178631
hobea,5,0.33,527,0.00024013744594178631
bestalde,8,0.6500000000000004,532,0.00023795437825140645
nork,4,0.31,532,0.00023795437825140645
erraz,5,0.3500000000000001,532,0.00023795437825140645
bilboko,7,0.5,532,0.00023795437825140645
liburuak,8,0.5499999999999999,532,0.00023795437825140645
duena,5,0.3700000000000001,536,0.00023577131056102656
eusko,5,0.3499999999999999,536,0.00023577131056102656
hirurogeita,11,0.6050000000000002,536,0.00023577131056102656
mesedez,7,0.6300000000000002,536,0.00023577131056102656
futbol,6,0.4199999999999999,540,0.0002335882428706467
helburua,8,0.56,540,0.0002335882428706467
dagoeneko,9,0.66,540,0.0002335882428706467
jarduera,8,0.53,540,0.0002335882428706467
erraza,6,0.3999999999999997,546,0.00023140517518026682
datoz,5,0.3899999999999998,546,0.00023140517518026682
aurka,5,0.3399999999999998,546,0.00023140517518026682
euren,5,0.3450000000000001,546,0.00023140517518026682
onartu,6,0.395,546,0.00023140517518026682
herritarren,11,0.605,546,0.00023140517518026682
aurre,5,0.2800000000000002,550,0.00022922210748988693
testua,6,0.43,550,0.00022922210748988693
