Word,Length of characters,Median duration,Frequency rank,Relative frequency
ayında,6,0.29,90,0.0012815036309269544
yılında,7,0.3399999999999998,90,0.0012815036309269544
bile,4,0.2,91,0.0012722173727318315
günü,4,0.1899999999999999,92,0.0012443585981464628
geldi,5,0.4300000000000001,93,0.00123507233995134
i̇ki,4,0.25,94,0.0012164998235610943
türkiye,7,0.4599999999999999,96,0.0012072135653659714
tek,3,0.22,96,0.0012072135653659714
gün,3,0.1799999999999999,99,0.00117006853258548
şimdi,5,0.3800000000000001,99,0.00117006853258548
gibi,4,0.2099999999999999,99,0.00117006853258548
kabul,5,0.29,101,0.0011514960161952343
zor,3,0.2699999999999999,101,0.0011514960161952343
farklı,6,0.4199999999999997,102,0.0011422097580001114
bunlar,6,0.4000000000000001,105,0.0011329234998049885
oldukça,7,0.4599999999999999,105,0.0011329234998049885
henüz,5,0.3199999999999998,105,0.0011329234998049885
siyasi,6,0.5299999999999999,107,0.0011236372416098658
edecek,6,0.5099999999999998,107,0.0011236372416098658
aldı,4,0.3700000000000001,109,0.001114350983414743
proje,5,0.435,109,0.001114350983414743
etti,4,0.3699999999999999,110,0.0010957784670244971
önemli,6,0.3800000000000001,112,0.0010772059506342514
iş,2,0.1899999999999999,112,0.0010772059506342514
herkes,6,0.4399999999999999,116,0.00104006091785376
neden,5,0.3449999999999998,116,0.00104006091785376
durumda,7,0.4500000000000002,116,0.00104006091785376
konuda,6,0.35,116,0.00104006091785376
sırbistan,9,0.67,117,0.001030774659658637
ile,3,0.19,119,0.0010214884014635142
konusu,6,0.38,119,0.0010214884014635142
bulunuyor,9,0.5700000000000003,120,0.0010122021432683915
hala,4,0.3999999999999999,121,0.0010029158850732686
ama,3,0.2300000000000001,122,0.0009936296268781457
açık,4,0.31,124,0.0009843433686830228
altmış,6,0.4049999999999999,124,0.0009843433686830228
karşı,5,0.3599999999999999,125,0.0009750571104879
doksan,6,0.4,127,0.0009657708522927772
böyle,5,0.29,127,0.0009657708522927772
alıyor,6,0.4400000000000004,130,0.0009564845940976543
söz,3,0.28,130,0.0009564845940976543
burada,6,0.36,130,0.0009564845940976543
yapılacak,9,0.64,133,0.0009471983359025314
ilgili,6,0.3299999999999999,133,0.0009471983359025314
başladı,7,0.5399999999999999,133,0.0009471983359025314
biri,4,0.25,136,0.0009379120777074086
göre,4,0.26,136,0.0009379120777074086
anda,4,0.28,136,0.0009379120777074086
çoğu,4,0.31,139,0.0009193395613171628
içinde,6,0.33,139,0.0009193395613171628
bunların,8,0.47,139,0.0009193395613171628
yol,3,0.1800000000000001,140,0.00091005330312204
olabilir,8,0.5300000000000002,143,0.0009007670449269171
projenin,8,0.55,143,0.0009007670449269171
gerekiyor,9,0.6000000000000005,143,0.0009007670449269171
bekliyor,8,0.56,145,0.0008914807867317943
yüksek,6,0.3900000000000001,145,0.0008914807867317943
ki,2,0.2399999999999998,147,0.0008729082703415486
etkinlik,8,0.5900000000000001,147,0.0008729082703415486
önce,4,0.28,149,0.0008636220121464258
eriyor,6,0.4699999999999997,149,0.0008636220121464258
reddetti,8,0.635,151,0.0008543357539513029
tüm,3,0.2099999999999999,151,0.0008543357539513029
film,4,0.27,153,0.00084504949575618
hiçbir,6,0.3699999999999999,153,0.00084504949575618
olmadı,6,0.4999999999999996,155,0.0008357632375610572
seksen,6,0.45,155,0.0008357632375610572
geliyor,7,0.48,157,0.0008264769793659343
az,2,0.2199999999999999,157,0.0008264769793659343
neler,5,0.3400000000000001,159,0.0008079044629756886
kaldı,5,0.4399999999999999,159,0.0008079044629756886
karar,5,0.3500000000000001,163,0.00078004568839032
konusunda,9,0.5299999999999998,163,0.00078004568839032
polis,5,0.3600000000000001,163,0.00078004568839032
sergi,5,0.58,163,0.00078004568839032
uzun,4,0.2899999999999999,164,0.0007707594301951972
sonunda,7,0.4199999999999999,165,0.0007614731720000743
musunuz,7,0.5699999999999994,166,0.0007336143974147057
seçim,5,0.36,168,0.0007243281392195829
sonuç,5,0.39,168,0.0007243281392195829
katılıyor,9,0.6200000000000001,171,0.00071504188102446
i̇lk,4,0.25,171,0.00071504188102446
makedonya,9,0.64,171,0.00071504188102446
şekilde,7,0.4100000000000001,172,0.0007057556228293371
aday,4,0.3099999999999996,174,0.0006964693646342143
uluslararası,12,0.7000000000000001,174,0.0006964693646342143
katılım,7,0.4199999999999999,176,0.0006871831064390914
görünüyor,9,0.5899999999999999,176,0.0006871831064390914
alındı,6,0.4399999999999999,180,0.0006778968482439685
başka,5,0.33,180,0.0006778968482439685
verdi,5,0.4199999999999997,180,0.0006778968482439685
ekonomik,8,0.5199999999999999,180,0.0006778968482439685
bütün,5,0.29,181,0.0006686105900488458
ülkenin,7,0.4399999999999999,182,0.0006593243318537229
karışık,7,0.48,188,0.0006500380736586
kolay,5,0.31,188,0.0006500380736586
süresi,6,0.4499999999999999,188,0.0006500380736586
beri,4,0.2049999999999999,188,0.0006500380736586
bundan,6,0.36,188,0.0006500380736586
ayı,3,0.1499999999999999,188,0.0006500380736586
festival,8,0.5700000000000001,190,0.0006407518154634772
tam,3,0.2299999999999999,190,0.0006407518154634772
sahip,5,0.4399999999999999,191,0.0006314655572683543
oranı,5,0.31,197,0.0006221792990732314
bizim,5,0.2999999999999998,197,0.0006221792990732314
gelecek,7,0.4700000000000002,197,0.0006221792990732314
hiç,3,0.24,197,0.0006221792990732314
üzerinde,8,0.4300000000000001,197,0.0006221792990732314
kalacak,7,0.5699999999999998,197,0.0006221792990732314
arasında,8,0.4549999999999997,198,0.0006128930408781086
anlaşmanın,10,0.67,205,0.0006036067826829857
olduğu,6,0.3399999999999998,205,0.0006036067826829857
ülkede,6,0.4199999999999999,205,0.0006036067826829857
yılki,5,0.33,205,0.0006036067826829857
kosova'da,9,0.5500000000000003,205,0.0006036067826829857
mevcut,6,0.4699999999999997,205,0.0006036067826829857
hükümeti,8,0.5300000000000001,205,0.0006036067826829857
ikinci,6,0.3700000000000001,208,0.0005943205244878628
olduğunu,8,0.3799999999999999,208,0.0005943205244878628
para,4,0.2699999999999999,208,0.0005943205244878628
bölgede,7,0.4499999999999998,212,0.00058503426629274
mümkün,6,0.3899999999999999,212,0.00058503426629274
resmi,5,0.4099999999999999,212,0.00058503426629274
tür,3,0.19,212,0.00058503426629274
bize,4,0.2600000000000002,214,0.0005757480080976171
ayrıca,6,0.5,214,0.0005757480080976171
teklif,6,0.4,220,0.0005664617499024943
hazır,5,0.33,220,0.0005664617499024943
yerel,5,0.3399999999999999,220,0.0005664617499024943
sayısı,6,0.3900000000000001,220,0.0005664617499024943
sizin,5,0.38,220,0.0005664617499024943
olan,4,0.29,220,0.0005664617499024943
yatırım,7,0.3700000000000001,225,0.0005571754917073715
türk,4,0.2599999999999999,225,0.0005571754917073715
açıdan,6,0.4100000000000001,225,0.0005571754917073715
üçüncü,6,0.3800000000000001,225,0.0005571754917073715
çözüm,5,0.3600000000000001,225,0.0005571754917073715
sorunu,6,0.3999999999999999,228,0.0005478892335122486
gerçekleşti,11,0.8299999999999996,228,0.0005478892335122486
tarihi,6,0.4599999999999999,228,0.0005478892335122486
sıfır,5,0.41,238,0.0005386029753171257
yetkililer,10,0.6099999999999999,238,0.0005386029753171257
destek,6,0.425,238,0.0005386029753171257
hırvat,6,0.395,238,0.0005386029753171257
ödül,4,0.31,238,0.0005386029753171257
yerine,6,0.31,238,0.0005386029753171257
avroya,6,0.385,238,0.0005386029753171257
yalnızca,8,0.51,238,0.0005386029753171257
yaşıyor,7,0.53,238,0.0005386029753171257
geçen,5,0.3700000000000001,238,0.0005386029753171257
oluyor,6,0.4399999999999999,243,0.0005293167171220029
ab,2,0.43,243,0.0005293167171220029
tepkiler,8,0.4899999999999997,243,0.0005293167171220029
altında,7,0.5100000000000002,243,0.0005293167171220029
sürecek,7,0.6099999999999994,243,0.0005293167171220029
ikisi,5,0.345,245,0.00052003045892688
erdi,4,0.3700000000000001,245,0.00052003045892688
dava,4,0.4599999999999999,250,0.0005107442007317571
vardı,5,0.4399999999999999,250,0.0005107442007317571
benzer,6,0.4400000000000001,250,0.0005107442007317571
eski,4,0.3399999999999999,250,0.0005107442007317571
kim,3,0.2299999999999995,250,0.0005107442007317571
ilerleme,8,0.48,256,0.0005014579425366343
görev,5,0.2999999999999998,256,0.0005014579425366343
ziyaret,7,0.4599999999999999,256,0.0005014579425366343
arada,5,0.37,256,0.0005014579425366343
hangi,5,0.31,256,0.0005014579425366343
konu,4,0.2650000000000001,256,0.0005014579425366343
kendi,5,0.3299999999999998,259,0.0004921716843415114
planlanıyor,11,0.77,259,0.0004921716843415114
sırbistan'da,12,0.77,259,0.0004921716843415114
misiniz,7,0.5800000000000001,267,0.0004828854261463886
arnavutluk,10,0.6900000000000001,267,0.0004828854261463886
idi,3,0.2949999999999999,267,0.0004828854261463886
yıldır,6,0.3149999999999999,267,0.0004828854261463886
karadağ,7,0.5049999999999999,267,0.0004828854261463886
özel,4,0.3349999999999999,267,0.0004828854261463886
oy,2,0.195,267,0.0004828854261463886
dış,3,0.2200000000000001,267,0.0004828854261463886
takımı,6,0.4300000000000001,273,0.0004735991679512657
birkaç,6,0.4400000000000001,273,0.0004735991679512657
belgrad,7,0.52,273,0.0004735991679512657
biz,3,0.27,273,0.0004735991679512657
rakam,5,0.3900000000000001,273,0.0004735991679512657
değeri,6,0.3900000000000001,273,0.0004735991679512657
kazandı,7,0.5599999999999998,278,0.00046431290975614285
hafta,5,0.2999999999999999,278,0.00046431290975614285
yana,4,0.2349999999999998,278,0.00046431290975614285
eğitim,6,0.4049999999999999,278,0.00046431290975614285
kadın,5,0.32,278,0.00046431290975614285
fikirde,7,0.4399999999999999,286,0.00045502665156102
açtı,4,0.3999999999999999,286,0.00045502665156102
olumlu,6,0.3699999999999999,286,0.00045502665156102
sürüyor,7,0.5699999999999998,286,0.00045502665156102
veriyor,7,0.4700000000000002,286,0.00045502665156102
süreci,6,0.41,286,0.00045502665156102
parti,5,0.3899999999999999,286,0.00045502665156102
durumu,6,0.3,286,0.00045502665156102
başlayacak,10,0.78,289,0.00044574039336589717
halk,4,0.335,289,0.00044574039336589717
bugüne,6,0.35,289,0.00044574039336589717
sürdü,5,0.4399999999999999,301,0.0004364541351707743
iyimser,7,0.5,301,0.0004364541351707743
tepki,5,0.31,301,0.0004364541351707743
yüzden,6,0.4399999999999999,301,0.0004364541351707743
değişti,7,0.54,301,0.0004364541351707743
etmek,5,0.3299999999999998,301,0.0004364541351707743
sorunlar,8,0.5100000000000002,301,0.0004364541351707743
ardından,8,0.59,301,0.0004364541351707743
biraz,5,0.32,301,0.0004364541351707743
şirket,6,0.48,301,0.0004364541351707743
olmak,5,0.3499999999999996,301,0.0004364541351707743
geçti,5,0.4799999999999995,301,0.0004364541351707743
bilgi,5,0.3000000000000001,310,0.00042716787697565144
dünya,5,0.3650000000000001,310,0.00042716787697565144
sırada,6,0.3900000000000002,310,0.00042716787697565144
konudaki,8,0.48,310,0.00042716787697565144
ekim,4,0.3,310,0.00042716787697565144
veya,4,0.2949999999999999,310,0.00042716787697565144
civarında,9,0.6000000000000001,310,0.00042716787697565144
kısa,4,0.27,310,0.00042716787697565144
devlet,6,0.3950000000000001,310,0.00042716787697565144
etkisi,6,0.4000000000000001,319,0.0004178816187805286
doğru,5,0.29,319,0.0004178816187805286
düşük,5,0.3399999999999998,319,0.0004178816187805286
mart,4,0.31,319,0.0004178816187805286
pazar,5,0.3899999999999999,319,0.0004178816187805286
herhangi,8,0.4599999999999999,319,0.0004178816187805286
bence,5,0.39,319,0.0004178816187805286
bazıları,8,0.5299999999999999,319,0.0004178816187805286
ekim'de,7,0.3699999999999999,319,0.0004178816187805286
sonraki,7,0.47,332,0.0004085953605854057
yönde,5,0.33,332,0.0004085953605854057
yılın,5,0.29,332,0.0004085953605854057
açısından,9,0.5100000000000001,332,0.0004085953605854057
grup,4,0.2999999999999999,332,0.0004085953605854057
yeterli,7,0.4099999999999999,332,0.0004085953605854057
ya,2,0.1299999999999999,332,0.0004085953605854057
engel,5,0.3400000000000001,332,0.0004085953605854057
seçimler,8,0.5800000000000001,332,0.0004085953605854057
ulaştı,6,0.5199999999999999,332,0.0004085953605854057
genel,5,0.35,332,0.0004085953605854057
anlaşma,7,0.5800000000000001,332,0.0004085953605854057
güvenlik,8,0.4400000000000002,332,0.0004085953605854057
durumun,7,0.36,337,0.00039930910239028287
verildi,7,0.5,337,0.00039930910239028287
nisan,5,0.3900000000000001,337,0.00039930910239028287
yasa,4,0.2999999999999999,337,0.00039930910239028287
mal,3,0.27,337,0.00039930910239028287
birlikte,8,0.4199999999999999,344,0.00039002284419516
tamamen,7,0.4999999999999998,344,0.00039002284419516
sırplar,7,0.5100000000000002,344,0.00039002284419516
muhalefet,9,0.595,344,0.00039002284419516
edildi,6,0.4500000000000002,344,0.00039002284419516
süreç,5,0.3999999999999999,344,0.00039002284419516
sonuna,6,0.3400000000000001,344,0.00039002284419516
kosova'nın,10,0.5799999999999998,353,0.00038073658600003713
değildi,7,0.4800000000000004,353,0.00038073658600003713
başlarında,10,0.56,353,0.00038073658600003713
reform,6,0.4300000000000001,353,0.00038073658600003713
yapıldı,7,0.49,353,0.00038073658600003713
derece,6,0.33,353,0.00038073658600003713
düşünüyor,9,0.4900000000000002,353,0.00038073658600003713
hükümetin,9,0.5999999999999999,353,0.00038073658600003713
aralık,6,0.3899999999999999,353,0.00038073658600003713
ayrıntılı,9,0.565,366,0.0003714503278049143
yapılması,9,0.4849999999999999,366,0.0003714503278049143
sayıda,6,0.32,366,0.0003714503278049143
değişiklik,10,0.5699999999999998,366,0.0003714503278049143
sefer,5,0.385,366,0.0003714503278049143
siz,3,0.28,366,0.0003714503278049143
avrupa,6,0.4199999999999999,366,0.0003714503278049143
ev,2,0.1699999999999999,366,0.0003714503278049143
verilecek,9,0.6799999999999999,366,0.0003714503278049143
mü,2,0.1799999999999999,366,0.0003714503278049143
girecek,7,0.5500000000000003,366,0.0003714503278049143
ortak,5,0.4000000000000001,366,0.0003714503278049143
geçerli,7,0.4750000000000001,366,0.0003714503278049143
bugün,5,0.33,376,0.00036216406960979145
mali,4,0.4099999999999999,376,0.00036216406960979145
memnun,6,0.3600000000000003,376,0.00036216406960979145
etkinliğe,9,0.6500000000000001,376,0.00036216406960979145
arnavutluk'ta,13,0.87,376,0.00036216406960979145
maç,3,0.3799999999999999,376,0.00036216406960979145
kimse,5,0.3699999999999999,376,0.00036216406960979145
işbirliği,9,0.5300000000000002,376,0.00036216406960979145
bölge,5,0.33,376,0.00036216406960979145
yoksa,5,0.3599999999999999,376,0.00036216406960979145
yardım,6,0.36,387,0.00035287781141466856
hayatını,8,0.49,387,0.00035287781141466856
yürürlüğe,9,0.52,387,0.00035287781141466856
sık,3,0.2600000000000002,387,0.00035287781141466856
erecek,6,0.5349999999999999,387,0.00035287781141466856
ülkeye,6,0.4099999999999999,387,0.00035287781141466856
haber,5,0.345,387,0.00035287781141466856
ocak,4,0.3299999999999999,387,0.00035287781141466856
insanlar,8,0.5800000000000001,387,0.00035287781141466856
kararı,6,0.4399999999999999,387,0.00035287781141466856
tekrar,6,0.4199999999999999,387,0.00035287781141466856
çeşitli,7,0.4399999999999999,408,0.0003435915532195457
çocuklar,8,0.51,408,0.0003435915532195457
istiyor,7,0.51,408,0.0003435915532195457
kesin,5,0.3599999999999999,408,0.0003435915532195457
festivale,9,0.6499999999999999,408,0.0003435915532195457
kıbrıs,6,0.4099999999999999,408,0.0003435915532195457
ana,3,0.2299999999999998,408,0.0003435915532195457
alacak,6,0.4300000000000001,408,0.0003435915532195457
tarafından,10,0.5500000000000003,408,0.0003435915532195457
olay,4,0.31,408,0.0003435915532195457
kriz,4,0.3599999999999999,408,0.0003435915532195457
tabii,5,0.32,408,0.0003435915532195457
hırvatistan,11,0.7400000000000002,408,0.0003435915532195457
evet,4,0.53,408,0.0003435915532195457
savaş,5,0.44,408,0.0003435915532195457
ettiler,7,0.5499999999999998,408,0.0003435915532195457
gitti,5,0.4299999999999999,408,0.0003435915532195457
reddediyor,10,0.6999999999999997,408,0.0003435915532195457
kötü,4,0.27,408,0.0003435915532195457
dönemi,6,0.32,408,0.0003435915532195457
yanıt,5,0.29,408,0.0003435915532195457
mahkeme,7,0.47,412,0.0003343052950244229
yaralandı,9,0.6400000000000001,412,0.0003343052950244229
yapıyor,7,0.49,412,0.0003343052950244229
çıktı,5,0.41,412,0.0003343052950244229
diye,4,0.1899999999999999,429,0.0003250190368293
anlamına,8,0.4099999999999997,429,0.0003250190368293
turizm,6,0.4399999999999999,429,0.0003250190368293
çalışmaları,11,0.6600000000000001,429,0.0003250190368293
planı,5,0.33,429,0.0003250190368293
şimdilik,8,0.53,429,0.0003250190368293
barış,5,0.3099999999999999,429,0.0003250190368293
onlar,5,0.3700000000000001,429,0.0003250190368293
makedonya'nın,13,0.7399999999999999,429,0.0003250190368293
bulundu,7,0.5,429,0.0003250190368293
ciddi,5,0.37,429,0.0003250190368293
süreyle,7,0.3799999999999999,429,0.0003250190368293
şimdiye,7,0.4400000000000001,429,0.0003250190368293
hayır,5,0.5499999999999999,429,0.0003250190368293
ben,3,0.2400000000000001,429,0.0003250190368293
defa,4,0.3299999999999998,429,0.0003250190368293
hayal,5,0.3000000000000002,429,0.0003250190368293
rapor,5,0.405,441,0.00031573277863417715
suç,3,0.29,441,0.00031573277863417715
sürekli,7,0.4599999999999999,441,0.00031573277863417715
dördüncü,8,0.4700000000000001,441,0.00031573277863417715
zamanda,7,0.4700000000000001,441,0.00031573277863417715
onun,4,0.295,441,0.00031573277863417715
mayıs,5,0.33,441,0.00031573277863417715
tamamlanması,12,0.7450000000000001,441,0.00031573277863417715
maliyeti,8,0.5700000000000001,441,0.00031573277863417715
seçmen,6,0.5049999999999999,441,0.00031573277863417715
makedon,7,0.485,441,0.00031573277863417715
takım,5,0.3450000000000001,441,0.00031573277863417715
işler,5,0.3899999999999999,459,0.0003064465204390543
mücadele,8,0.5400000000000003,459,0.0003064465204390543
projeye,7,0.4699999999999997,459,0.0003064465204390543
adımlar,7,0.4199999999999999,459,0.0003064465204390543
romanya,7,0.58,459,0.0003064465204390543
oran,4,0.33,459,0.0003064465204390543
olmayacak,9,0.71,459,0.0003064465204390543
başarılı,8,0.4499999999999999,459,0.0003064465204390543
haziran,7,0.47,459,0.0003064465204390543
güçlü,5,0.33,459,0.0003064465204390543
başarı,6,0.3700000000000001,459,0.0003064465204390543
ifade,5,0.4499999999999999,459,0.0003064465204390543
balkan,6,0.4199999999999999,459,0.0003064465204390543
yandan,6,0.3800000000000001,459,0.0003064465204390543
değerlendiriyorsunuz,20,1.2000000000000002,459,0.0003064465204390543
türkiye'nin,11,0.5599999999999998,459,0.0003064465204390543
balkanlar'da,12,0.7899999999999998,459,0.0003064465204390543
sistemi,7,0.4499999999999999,459,0.0003064465204390543
güzel,5,0.3399999999999999,476,0.0002971602622439314
yolu,4,0.2299999999999999,476,0.0002971602622439314
gözaltına,9,0.56,476,0.0002971602622439314
gidiyor,7,0.4549999999999999,476,0.0002971602622439314
hareketi,8,0.4799999999999999,476,0.0002971602622439314
cuma,4,0.355,476,0.0002971602622439314
yerli,5,0.3600000000000001,476,0.0002971602622439314
sağlayacak,10,0.77,476,0.0002971602622439314
i̇kinci,7,0.415,476,0.0002971602622439314
saat,4,0.31,476,0.0002971602622439314
halkın,6,0.4500000000000002,476,0.0002971602622439314
gelen,5,0.2999999999999998,476,0.0002971602622439314
milyar,6,0.355,476,0.0002971602622439314
temel,5,0.3300000000000002,476,0.0002971602622439314
elde,4,0.265,476,0.0002971602622439314
yaz,3,0.25,476,0.0002971602622439314
nerede,6,0.36,476,0.0002971602622439314
uzmanlar,8,0.59,501,0.00028787400404880857
banka,5,0.3299999999999998,501,0.00028787400404880857
birinci,7,0.3700000000000001,501,0.00028787400404880857
adım,4,0.27,501,0.00028787400404880857
benim,5,0.29,501,0.00028787400404880857
üyesi,5,0.3599999999999999,501,0.00028787400404880857
çözüme,6,0.3800000000000001,501,0.00028787400404880857
hareket,7,0.48,501,0.00028787400404880857
taraf,5,0.3600000000000001,501,0.00028787400404880857
priştine,8,0.56,501,0.00028787400404880857
zanlı,5,0.3900000000000001,501,0.00028787400404880857
sürecin,7,0.49,501,0.00028787400404880857
bunda,5,0.31,501,0.00028787400404880857
ordu,4,0.3400000000000001,501,0.00028787400404880857
bakan,5,0.3899999999999999,501,0.00028787400404880857
ona,3,0.22,501,0.00028787400404880857
çalışıyor,9,0.6500000000000004,501,0.00028787400404880857
sonuçlar,8,0.55,501,0.00028787400404880857
kısmı,5,0.3400000000000001,501,0.00028787400404880857
ediliyor,8,0.5499999999999998,501,0.00028787400404880857
yarışmaya,9,0.5700000000000001,501,0.00028787400404880857
noktada,7,0.4299999999999999,501,0.00028787400404880857
sonrasında,10,0.6400000000000001,501,0.00028787400404880857
soruşturma,10,0.6400000000000001,501,0.00028787400404880857
kosova'daki,11,0.6499999999999999,501,0.00028787400404880857
arnavut,7,0.48,516,0.00027858774585368573
yerde,5,0.3199999999999999,516,0.00027858774585368573
hızlı,5,0.3299999999999999,516,0.00027858774585368573
taşıyor,7,0.54,516,0.00027858774585368573
gelir,5,0.3200000000000002,516,0.00027858774585368573
özellikle,9,0.565,516,0.00027858774585368573
sürmesi,7,0.4649999999999997,516,0.00027858774585368573
hepsi,5,0.3499999999999998,516,0.00027858774585368573
avroluk,7,0.4750000000000001,516,0.00027858774585368573
nedeni,6,0.35,516,0.00027858774585368573
üyelik,6,0.3749999999999999,516,0.00027858774585368573
geçiş,5,0.3899999999999999,516,0.00027858774585368573
müzakereler,11,0.79,516,0.00027858774585368573
yaptı,5,0.4400000000000001,516,0.00027858774585368573
insan,5,0.38,516,0.00027858774585368573
herşey,6,0.4499999999999999,535,0.00026930148765856284
yaygın,6,0.4099999999999999,535,0.00026930148765856284
sırbistan'ın,12,0.77,535,0.00026930148765856284
öte,3,0.25,535,0.00026930148765856284
söylüyor,8,0.5899999999999999,535,0.00026930148765856284
nisan'da,8,0.48,535,0.00026930148765856284
değişiyor,9,0.6399999999999999,535,0.00026930148765856284
hapis,5,0.2899999999999998,535,0.00026930148765856284
önem,4,0.2799999999999998,535,0.00026930148765856284
hakkında,8,0.4000000000000001,535,0.00026930148765856284
hemen,5,0.33,535,0.00026930148765856284
karşıladı,9,0.6400000000000001,535,0.00026930148765856284
yunanistan,10,0.6799999999999999,535,0.00026930148765856284
yaklaşıyor,10,0.71,535,0.00026930148765856284
şimdiden,8,0.53,535,0.00026930148765856284
söyledi,7,0.5299999999999998,535,0.00026930148765856284
hoş,3,0.25,535,0.00026930148765856284
diğerleri,9,0.5700000000000001,535,0.00026930148765856284
sergide,7,0.56,535,0.00026930148765856284
dizi,4,0.25,553,0.00026001522946344
parlamento,10,0.705,553,0.00026001522946344
birisi,6,0.39,553,0.00026001522946344
suçlamaları,11,0.6850000000000002,553,0.00026001522946344
yılda,5,0.24,553,0.00026001522946344
alan,4,0.265,553,0.00026001522946344
milletvekili,12,0.6850000000000002,553,0.00026001522946344
maçı,4,0.345,553,0.00026001522946344
erken,5,0.3750000000000001,553,0.00026001522946344
sonuçları,9,0.51,553,0.00026001522946344
başına,6,0.3249999999999998,553,0.00026001522946344
dahil,5,0.415,553,0.00026001522946344
rakamlar,8,0.56,553,0.00026001522946344
su,2,0.1899999999999999,553,0.00026001522946344
kez,3,0.24,553,0.00026001522946344
